RowID,X4,Y4
0,238.395004,320.93399
1,830.656982,83.505997
2,166.205994,382.330994
3,166.929001,427.821991
4,811.786987,311.269989
5,779.625977,75.912003
6,789.559021,417.519989
7,742.286011,431.699005
8,504.058014,361.570007
9,221.781006,295.635986
10,829.737,430.052002
11,188.735992,341.446014
12,835.989014,135.210007
13,171.087006,482.075989
14,722.765991,82.663002
15,278.885986,69.898003
16,163.802002,133.436005
17,649.504028,156.151001
18,206.755005,160.507004
19,167.675003,82.158997
20,294.761993,243.753006
21,663.968018,237.720001
22,263.225006,434.457001
23,361.721008,229.975006
24,747.559998,139.888
25,317.647003,226.792007
26,359.783997,424.03299
27,790.09198,200.781998
28,521.463013,370.604004
29,767.434998,261.311005
30,234.753006,124.191002
31,544.708008,448.687988
32,541.994995,428.306
33,701.765991,414.990997
34,711.80603,153.337997
35,623.010986,459.429993
36,828.976013,373.800995
37,244.182999,479.966003
38,526.963989,345.821014
39,331.664001,195.520004
40,293.02301,388.19101
41,312.488007,204.613007
42,222.792007,234.598007
43,787.315002,145.485992
44,581.091003,468.894989
45,563.163025,448.014008
46,648.898987,376.084991
47,396.821014,118.322998
48,420.962006,108.311996
49,549.161011,330.915009
50,607.843994,125.120003
51,225.725006,73.816002
52,585.653015,418.875
53,753.629028,407.505005
54,718.356995,307.725006
55,774.520996,378.320007
56,552.377991,361.872009
57,835.439026,194.612
58,359.587006,143.451004
59,359.881012,161.391006
60,652.500977,75.831001
61,696.85498,336.94101
62,681.08197,381.429993
63,352.588013,389.024994
64,742.658997,354.527008
65,552.689026,105.977997
66,303.652008,460.852997
67,262.976013,227.727997
68,740.622009,472.884003
69,318.214996,450.101013
70,345.612,469.334991
71,567.596985,391.158997
72,432.735992,199.800003
73,250.878006,338.061005
74,646.978027,423.049988
75,221.195007,359.994995
76,223.716003,385.386993
77,404.315002,418.813995
78,780.619995,316.628998
79,328.459015,99.556999
80,339.003998,118.441002
81,513.133972,414.178986
82,311.789001,337.367004
83,393.31601,141.511002
84,477.623993,123.432999
85,705.052979,115.063004
86,810.919006,474.997009
87,498.778992,144.520004
88,512.187988,123.526001
89,763.606995,187.074997
90,746.356995,207.029007
91,673.745972,199.296997
92,672.585022,183.041
93,467.027008,414.325989
94,656.952026,264.727997
95,244.272003,265.614014
96,715.672974,264.545013
97,312.90799,269.473999
98,642.942993,209.287003
99,292.720001,179.653
100,310.072998,159.585007
101,382.528992,212.832993
102,656.296997,319.089996
103,416.187012,227.466995
104,741.585022,175.936996
105,674.810974,111.994003
106,438.149994,373.044006
107,614.327026,261.920013
108,571.567993,206.830994
109,697.909973,452.207001
110,666.231018,465.196991
111,569.492004,138.401993
112,586.109009,164.460999
113,591.213989,315.093994
114,311.471008,297.717987
115,465.688995,362.080994
116,524.890015,200.802002
117,346.053009,88.649002
118,822.351013,249.408997
119,487.140991,413.761993
120,706.33197,209.447006
121,434.632996,419.677002
122,168.167999,194.382004
123,401.164001,244.289001
124,211.869003,426.515015
125,423.167999,256.429993
126,165.195999,167.613998
127,719.122009,374.907013
128,377.45401,187.537003
129,389.813995,486.319
130,619.481018,412.582001
131,609.552002,473.898987
132,532.921021,171.360001
133,590.763977,356.925995
134,396.458008,70.360001
135,361.656006,341.652008
136,417.248993,302.908997
137,323.290985,429.213013
138,431.164001,138.804993
139,405.957001,336.096985
140,373.373993,299.819
141,605.252991,237.860992
142,470.684998,173.494003
143,366.221985,273.286011
144,463.407013,202.283005
145,389.72699,382.132996
146,527.455017,394.709015
147,282.338989,106.726997
148,450.832001,331.677002
149,609.60498,379.59201
150,550.692993,229.444
151,239.451996,175.817001
152,297.721985,133.119995
153,451.509003,230.992996
